title,date,content,url
[금주의 투자전략] 중국펀드 투자시 환헤지 필요,2005-05-08 13:27:10,"조정세를 면치 못했던 증시가 지난주엔 상승세를 나타냈다. 종합주가지수는 전 주 대비 29.55포인트 상승,940.85에 마감되면서 940선을 회복했다. 반면 채권시 장은 좁은 박스권 장세 속에 소폭 약세(채권금리 하락세)로 마감됐다. 지표인 3년물 금리는 0.01%포인트 오른 연 3.77%에 마감됐다. 이같은 상황을 반영,지난주 펀드 수익률은 주식형과 채권형 모두 상승했다. 8일 한국펀드평가에 따르면 주식 편입비율 60% 이상인 주식 고편입 펀드와 증시 상 황에 따라 주식 편입비율을 조절할 수 있는 자산배분형 펀드의 수익률은 지난주 각각 1.21%와 0.99%씩 올랐다. 채권형 펀드는 단기ㆍ중기형과 장기형이 각각 0.14% 상승했다. 중국 위안화의 평가절상(위안화 가치 상승)이 초읽기에 들어간 모습이다. 때문 에 중국 투자 해외펀드에 가입하려는 사람들은 위안화 평가절상이 펀드 수익률 에 어떤 영향을 미칠지 묻는 경우가 최근 부쩍 늘었다. 이에대한 해답은 두 가지로 나누어 생각해 봐야 한다. 중국 투자 해외펀드는 과 연 중국 본토 기업에 투자하는 것인지가 그 하나고, 어느 나라 통화로 펀드가 평가되는지가 다른 하나다. 우선 중국 투자 해외펀드는 중국 본토보다는 주로 홍콩 증권거래소에 상장돼 있 는 H-주식과 레드칩 등 두 가지 시장에 투자한다. 특히 H-주식은 대부분 우량주 들로 구성돼 투명성이 상대적으로 높은 데다 에너지 소재 산업재 등의 업종이 차지하는 비중이 70%를 넘어 중국 경제의 성장 동력을 가장 잘 반영하고 있다고 평가된다. 그런데 H-주식과 레드칩에 투자할 경우에는 대부분 위안화가 아닌 홍콩 달러로 투자된다. 물론 위안화가 평가절상되면 홍콩 달러도 가치가 상승하 리라 보는 견해가 대부분이다. 둘째 대부분 중국에 투자하는 펀드는 달러화로 평가한다는 점이다.그래서 위안 화가 평가절상되면 펀드 기준가와 수익률에는 유리한 영향을 미친다. 그러나 펀 드를 환매할 때는 달러화를 팔아 원화로 바꿔야 한다. 이때 환차손이 발생할 수 도 있다. 물론 위안화 평가절상 폭만큼 원화 가치가 오른다면 환차손 위험은 없 다. 하지만 위안화 절상폭보다 원화 가치가 더 오른다면 국내 투자자는 펀드를 환매할 때 낭패를 볼 수도 있다. 즉 중국 투자 해외펀드에 투자하려는 사람은 꼭 선물환 계약을 통해서 환헤지를 하는 지혜가 필요하다는 얘기다. 이관순 미래에셋증권 에셋매니지먼트팀장",https://n.news.naver.com/mnews/article/015/0000801141?sid=101
이슬람 채권에 돈 몰린다,2005-05-02 16:16:05,"이슬람 지역에서 발행되는 채권이 새로운 투자수단으로 각광받고 있다. 파이낸셜타임스(FT)는 2일 ""고유가가 지속되고 미국 유가증권에 대한 중동 투자 자들의 신중한 투자가 이어지면서 이슬람 지역에서 발행하는 채권에 대한 관심 이 커지고 있다"" 고 보도했다. FT는 씨티그룹의 전망을 인용,""지난 2002년 첫선을 보인 이슬람 채권시장(일명 sukuk)이  올해 50억~55억달러 규모로 지난해보다 2배 이상 급증하고 1년~1년 반 뒤에는 1백억달러에 달할 것""으로 내다봤다. HSBC의 이머징마켓 리서치 대표인 필립 풀은 ""이슬람 채권의 인기는 선진국에서 이머징마켓으로 막대한 부(富)가 이전되고 있음을 반영하는것""이라고 분석했다 . 2000년 이후 국제유가는 1990년대의 두 배로 뛰어올랐으며 석유수출국기구(OPE C)의 석유생산량은 최근 25년 간 가장 높은 수준을 유지하고 있다. 반면 주머니 가 두둑해진 중동지역 투자자들은 70년대 '오일 붐' 때와는 달리 분별력있게 투 자에 나서고 있다. 작년에 독일 작센-안할트주가 비(非)이슬람 국가로는 처음으로 1억유로의 이슬 람채권을 발행했을 정도로 중동 이외 지역에서도 이슬람채권에 대한 관심이 높 다. 필립 풀은 ""미연방준비제도이사회(FRB)의 금리인상으로 선진국 채권 투자자의 수익률이 떨어지고 있다""며 ""고유가가 지속된다면 이슬람 채권에 대한 수요가 계속 늘어날 것""이라고 내다봤다. 장규호 기자 danielc@hankyung.com",https://n.news.naver.com/mnews/article/015/0000799698?sid=101
채권시장 '수위조절 필요한 제한적 강세'-한누리,2005-05-24 09:33:00,한누리투자증권은 채권시장에 대해 수위조절이 필요한 제한적 강세장이 지속될 것으로 평가했다. 24일 김진성 한누리 수석연구원은 1분기 GDP 발표를 계기로 5월 금통위이후 시 작된 GDP 랠리가 마감됐으나 국내 채권시장이 여전히 제한적 강세국면에 놓여 있다고 판단했다. 저성장에 따라 펀더멘탈 의구심이 수면위로 부상한 데다 금통위기조및 수급 측 면에서 금리상승압력이 현저히 약화된 상태가 유지되고 있다고 설명.아직까지 장기금리의 과열징후도 나타나고 있지 않다고 덧붙였다. 그러나 2분기 경기저점 판단을 유지한 가운데 2분기중 경기지표의 방향성과 경 기국면 전환 가능성에 무게를 두고 월별지표의 추이에 주목하나 단기간 방향성 에 대한 뚜렷한 변화는 나타나지 않을 것으로 분석했다. 따라서 지속적으로 속도와 금리수위에 대한 위험 관리가 필요하나 선취매도보다 '보유및 반등시 매수' 관점에서 제한적 강세장에 대응하는 게 바람직하다고 조 언했다. 한경닷컴 박병우기자 parkbw@hankyung.com,https://n.news.naver.com/mnews/article/015/0000805273?sid=101
신종 파생상품 쏟아진다 ‥ 환율·이자율 따라 수익률 연계,2005-05-17 16:33:01,"삼성증권이 증권업계 최초로 파생결합증권을 선보인다. 또 우리투자증권 동원증권 등 다른 증권사들도 파생결합증권 판매를 서두르고 있어 조만간 관련 상품이 잇따라 쏟아질 전망이다. 파생결합증권이란 금값이나 석유값,원·달러 환율,이자율 등의 변동에 따라 수 익률이 달라지는 신종 장외파생상품으로 투자자 입장에선 그동안 주가연계증권 (ELS)으로 제한됐던 장외파생상품 선택의 폭이 크게 넓어지게 되는 셈이다. ◆국내 최초 파생결합증권 등장 삼성증권은 오는 6월1일 개인 등을 대상으로 이자율에 따라 수익률이 달라지는 파생결합증권 300억원어치를 공모한다고 밝혔다. 이 파생결합증권은 원금보장형이며 만기는 10년이다. 기초자산은 국고채 수익률과 CD(양도성예금증서) 91일물 수익률 두가지이며 국 고채 수익률이 높고 CD 수익률이 낮을수록 고수익을 얻을 수 있도록 설계돼 있 다. 구체적으로 10년간의 투자 기간 중 첫 2년간 기대 수익률은 '5.5%+5.4×(10년만 기 국고채수익률-4.45%)', 나머지 8년간은 '14%-(2×CD91일물 수익률)'이다. 만약 10년만기 국고채 수익률이 4.45%,CD 91일물 수익률이 3.5%라고 가정하면 첫 2년간은 연 5.5%,향후 8년간은 연 7%의 수익을 기대할 수 있다는 얘기다. 물론 실제 투자수익은 국고채와 CD의 수익률에 따라 달라지게 된다. 정진형 삼성증권 채권파트 과장은 ""향후 금리가 하향 안정될 것으로 보고 장기 간  여유자금을 굴리려는 투자자들에게 적합한 상품""이라고 설명했다. ◆후속 상품 잇따를 듯 삼성증권의 업계 첫 파생결합증권 판매를 계기로 다른 증권사들의 움직임도 빨 라질 전망이다. 실제로 우리투자증권은 원·달러 환율에 따라 수익률이 달라지는 파생결합증권 등을 판매하기 위해 현재 금융감독원과 협의 중이다. 또 동원증권도 금 원유 원·달러 환율 등에 연계된 다양한 파생결합증권을 준비 중이다. 이 밖에 상당수 증권사들이 관련 상품에 대한 시장성 조사를 마쳤거나 착수한 것으로 알려졌다. 이에 따라 투자자 입장에선 '몸에 맞는' 장외파생상품을 고를 수 있게 됐다. 성효국 동원증권 투자공학부장은 ""파생결합증권이 활성화되면 투자자들이 다양 한 상품을 고를 수 있을 뿐 아니라 주가 급등락의 위험을 헤지(회피)하는 수단 도 늘어나게 된다""고 설명했다. 주용석 기자 hohoboy@hankyung.com",https://n.news.naver.com/mnews/article/015/0000803731?sid=101
뉴욕증시 주요지수 일제 하락,2005-05-26 07:07:00,"또다시 배럴당 50달러를 상향돌파한 국제유가와 새삼 재대두한 금리상승 우려 로 25일 뉴욕증시는 주요 지수가  일제히  하락하는 약세를 나타냈다. 잠정집계에 따르면 다우존스 산업평균 지수는 45.90 포인트 (0.44%) 하락한 10,457.80으로 마감됐다. 나스닥 종합지수는 11.50 포인트 (0.56%) 떨어진 2,052.12로, 스탠더드 앤드 푸어스 (S&P) 500 지수는 4.06 포인트 (0.34%) 내린 1,190.01로 각각 장을 마 쳤다.",https://n.news.naver.com/mnews/article/015/0000805914?sid=101
"""박스권서 반등 탐색"" .. 전문가들이 본 5월증시 전망.전략",2005-05-01 14:14:10,"‘900선 방어는 무난, 네자릿수 돌파는 무리.’ 증권사 투자전략가들이 보는 5월 증시 전망은 한마디로 이같이 요약된다. 적립식펀드 효과와 1분기 기업실적 바닥론이 확산되면서 추가 급락 가능성은 희박하지만 미국의 소프트패치(일시적 경기둔화) 등 해외 악재의 중압감으로 지난 4월 한달간 981에서 911로 뒷걸음질친 지수가 갑자기 튀어오르기도 힘들다 는 것이다. 결국 900선 지지력을 봐가며 보수적으로 대응해야 한다는게 전문가들의 시각 이다. ○900선은 지킨다 굿모닝신한 대우 삼성 우리투자 등 대형 증권사들은 모두 900선을 5월 지수의 '마지노선'으로 설정했다. 최악의 경우 870선까지 밀릴 수 있다(서울증권)는 관측도 없진 않지만 소수 의 견에 그치고 있다. 박효진 굿모닝신한증권 연구원은 ""최근 지수가 급락했지만 내수경기가 살아날 조짐인 데다 적립식 펀드를 비롯해 2백조원에 육박하는 투신권 자금이 버티고 있어 시장 분위기는 과거와 달리 안정감이 높아졌다""고 말했다. 작년 4~5월 외국인 매도로 900선이 무너졌을 때 1백60조원 안팎에 불과했던 투 신권 자금이 지금은 40조원 가까이 늘어나면서 시장의 안전판 구실을 하고 있다 는 것이다. 오현석 삼성증권 연구위원은 ""1분기 실적이 실망스럽기는 하지만 기업가치 측면 에서 접근할 때 바닥을 통과하는 중""이라고 평가했다. 강현철 우리투자증권 연구위원도 ""900선 초반에선 밸류에이션(가치) 매력이 살 아날 것""이라고 내다봤다. ○해외 악재가 걸림돌 하지만 증시 분위기가 갑자기 좋아지기는 힘들다는 분석이 우세하다. 대외 악재 가 여전히 도사리고 있기 때문이다. 실제 최근 증시에서 부각된 악재만 해도 미국의 소프트 패치 외에 미국 증시 불 안,3일(현지시간) 미국 공개시장위원회(FOMC)의 금리 인상 가능성,북핵 문제,위 안화 절상설과 이에 따른 원화가치 강세(원·달러 환율 하락),외국인의 3,4월 연속 순매도,5월 말 모건스탠리지수(MSCI)에서 대만 비중 확대 등 셀 수 없을 정도다. 특히 미국의 금리 인상은 신흥시장에 대한 국제 유동성 위축이라는 점에서,대만 비중 확대는 외국인의 한국 투자 비중 축소라는 점에서 수급 측면에 적잖은 부 담을 주고 있다. 삼성증권 오 연구위원은 ""대외 악재가 꼬리에 꼬리를 물고 있다""며 ""당분간 90 0선의 지지력을 테스트하는 과정이 이어질 것""이라고 내다봤다. ○관심 종목 좁혀라 전문가들은 이에 따라 일부 유망 종목으로 투자 대상을 압축해야 한다고 조언했 다. 굿모닝신한은 내수경기 회복을 겨냥해 소비주·건설주를 사거나 현재 경기가 좋 은 조선주와 해운주,바닥론이 확산되고 있는 LCD(액정표시장치)주에 주목하라고 밝혔다. 대우는 반도체 등 IT주와 자동차 기계 건설 등,우리투자는 은행 제약 통신 등을 관심주로 선정했다. 삼성은 고배당을 기대할 수 있는 가치주와 턴어라운드주를 핵심 타깃으로 꼽았 다. 주용석 기자 hohoboy@hankyung.com",https://n.news.naver.com/mnews/article/015/0000799404?sid=101
[다산칼럼] 정부가 자초한 경제 무기력증,2005-05-15 15:18:05,"나성린 < 한양대 경제금융학부 교수 > 1분기 경제성장률이 기대와 달리 3%에도 미치지 못할 전망이다. 올해 정부는 5% 성장을 예상하고 재정지출을 포함한 경제운용계획을 세웠지만 한국은행을 포함한 대부분의 경제예측기관들은 올해 경제성장률이 4% 정도 될 것이라고 예측해 왔다. 그러나 1분기 실적이 이 정도면 올해 경제성장률 4%도 어렵지 않을까 걱정이다 . 왜냐하면 올해 상반기 경제성장률이 3% 후반, 그리고 하반기 경제성장률이 4% 초반으로 예상됐었는데 이미 상반기부터 그 예상이 빗나가고 있고 하반기로 전 망되는 경기회복세도 기대만큼 빠르지 않기 때문이다. 정부가 올해 예산을 조기집행하면서 1분기 동안에만 올해 예산의 40% 가량인 5 0조원을 쏟아부었는데도 불구하고 경제성장률이 3%에 못미친다면 심각한 일이다 . 한국 경제는 상당한 무기력증에 빠져있는 것 같다. 연초 코스닥시장 부양책과 참여정부의 경제중심으로의 국정운영 방향 선회 제스 처로 소비를 중심으로 조금 살아나는 듯 보이던 경제가 그 후 계속되는 악재로 인해 답답할 정도로 더 이상 탄력을 받지 못하고 있는 상황이다. 이러한 악재의 대부분은 달러환율 하락, 고유가 지속, 미국의 금리인상 및 세계 경제 둔화와 같은 해외 요소에 기인하지만 불행히도 상당 부분 정부가 자초한 측면도 있다. 필자는 연초 본 칼럼을 통해 우리 경제가 회복되는 조짐을 보이고 있지만 개방 형 소국경제인 우리 경제의 특성상 외부 여건의 변화에 잘 대처해야 하고 무엇 보다 기업의 본격적인 투자증대로 연결되지 않으면 회복세가 지속되지 않을 것 이라고 경고한 바 있다. 그리고 이를 위해서 참여정부가 경제활성화와 선진경제 구축이라는 국정운영의 일관성을 지속적으로 유지해야 함을 강조했다. 그럼에도 불구하고 국세청은 외국계 펀드에 대한 '일제' 세무조사를 실시했다. 이것이 노무현 대통령의 대일 비판과 더불어 4월 국회의원 재？보선을 앞두고 참여정부에 대한 대중적 인기는 끌어올렸을 지 몰라도 외국인 투자에 매우 부정 적인 영향을 미쳤다. 그렇지 않아도 해외 직접투자의 비율이 세계 꼴찌 수준인 우리나라로서는 실익 이 없는 불필요한 행동이었다. 이에 더하여 최근 심화되고 있는 북핵위기는 미국을 자극하며 한？미동맹을 훼 손하는 듯한 참여정부의 진보적 외교안보정책에 기인한 바 크고 이것이 외국인 투자에 미치는 영향 또한 적지않을 것으로 보인다. 지난 5년 동안 큰 폭으로 줄어들던 외국인 투자가 작년에 겨우 반등으로 돌아섰 는데 올해 들어 다시 급격히 줄어들고 있는 것도 이와 무관치 않아 보인다. 북핵위기는 국내기업들의 투자에도 부정적인 영향을 미칠 것이 뻔하다. 그리고 경기상황을 고려치 않는 정부의 부동산시장 대책도 답답하기는 마찬가지 다. 그동안 20여 차례에 걸쳐 도입된 부동산 투기억제책에도 불구하고 일부 지역에 서의 부동산투기가 계속되고 부동산가격이 불안 조짐을 보이자 정부는 다시 5？ 4 부동산 종합대책과 5？5 토지시장 안정대책을 포함한 고강도의 부동산 투기억 제 대책을 내놓았는데 이것이 작년 내내 위축돼 온 건설경기를 더욱 위축시킬 것으로 보인다. 인위적인 부동산경기 부양을 하지 않고 임기 내에 부동산투기를 반드시 근절하 겠다는 대통령의 의지는 좋으나 역으로 불필요하게 건설경기를 침체시킬 필요도 없는 것이다. 과거의 경험에서 보듯이 부동산가격안정이라는 것이 정부의 고강도정책만으로 해결될 수 없는 복잡한 요인들이 있기에 시간을 두고 시장원리에 따라 순리대로 해결하는 것이 부동산경기 침체라는 부작용도 줄이면서 소기의 목적을 달성하 는 현명한 방법인 것이다. 최근 3M 투자를 두고 경기도지사와 국무총리 간에 벌어진 갈등은 입만 열면 투 자활성화를 위해 각종 규제를 완화하겠다던 정부가 여전히 직무유기를 하고 있 음을 여실히 보여주었다. 우리의 의지에 반해 예기치 않게 발생하는 해외 악재에 더하여 우리 정부마저 경제활성화에 반하는 행동을 자꾸 하면 우리 경제는 회복불능의 무기력증에 빠 질 수도 있음을 명심해야 할 것이다.",https://n.news.naver.com/mnews/article/015/0000802956?sid=110
"""미국 금리인상 행진 안끝났다""",2005-05-26 17:50:00,"잭 귄 미국 애틀랜타 연방준비은행 총재는 25일 금리인상 행진이 아직 끝나지 않았다고 주장했다. 귄 총재는 이날 주택건설업계 모임에서 연설을 통해 ""최근의 경제 전망을 토대 로 볼때 개인적으로는 미국의 금리가 아직 중립적인 수준에 도달하지 않았다고 생각한다""고 말했다. 그는 또 ""물가가 즉각적이고 큰 폭으로 오르고 있다고 볼 만한 신호가 없다고 생각하지만 정책 결정자들은 물가 움직임과 관련된 지표에 매우 민감해야 한다""고 강조했다. 한편 이날 메릴린치는 미국 연방준비제도이사회(FRB)가 금리인상 행진을 오는 8월에 끝낸 뒤 내년 초부터는 다시 금리인하에 나설 것으로 전망했다. 메릴린치의 수석 이코노미스트인 데이비드 로젠버그는 금리전망 보고서를 통해 ""FRB가 연방기금 금리를 8월까지 3.5%로 인상한 뒤 긴축행진을 중단할 것이며 내년 상반기에는 두차례 금리인하를 통해 연방기금 금리를 3.0%로 낮출 것""이 라고 예상했다. 로젠버그는 ""올해 3%대의 성장률 전망치를 테일러 준칙에 적용해 추정한 중립적 연방기금 금리는 2.75%,FRB가 제시한 4%대 성장률을 적용할 경우의 중립적 금 리는 3.5%""라며 이같이 예측했다. 금리인상 여부를 결정할 다음 FRB 회의는 6월 29,30일 열린다. 장경영 기자 longrun@hankyung.com",https://n.news.naver.com/mnews/article/015/0000806228?sid=101
"[대ㆍ중소기업 '한솥밥 경영'] (5) SK, 상생의 '행복경영'",2005-05-15 15:20:22,"“중소협력업체와 상생을 통한 ‘행복경영’을 확산시킵시다．우리가 계속 성 장하려면 협력사와의 파트너십(동반자 관계) 구축은 필요조건이기 때문입니다． ” 최태원 SK 회장은 행복극대화 경영의 한 축으로 중소협력업체와의 파트너십을 강조하고 있다． 이에 따라 SK그룹은 중소협력업체의 어려움을 해결해주기 위해 △자금난 해소 △연구개발(R&D) 지원 △정기적인 협의채널 가동 등에 주력하고 있다．우선 납 품대금의 조기 현금결제를 통해 협력업체에 자금융통을 해주고 있다． 그룹의 핵심계열사인 SK㈜는 지난해에만 5000억원의 납품대금을 현금으로 지급 했으며 올해는 현금결제를 가능한 전 계열사로 확대,그룹전체 결제 규모를 1조 원 규모로 늘릴 계획이다. SK 관계자는 ""현금을 조기에 확보한 중소협력업체들은 기업경쟁력을 키울 수 있 고 SK는 보다 좋은 물건을 납품받을 수 있어 '윈윈' 효과를 거두고 있다""고 말 했다. SK는 중소협력사 중 우수업체를 추천,이 기업이 중소기업은행에서 시중금리보다 싸게 돈을 빌릴 수 있는 '네트워크론'을 올부터 시행하고 있다. SK텔레콤의 경 우 협력업체들이 이 제도를 활용할 경우 올해에만 30억원 정도의 이자경감 혜택 을 볼 것으로 기대하고 있다. 이와 함께 SK는 협력업체와 제휴한 사업의 '비즈니스 모델 발굴→R&D→사업화' 등 모든 과정에서 협력업체를 발벗고 나서 지원하고 있다. SK텔레콤은 이 같은 업무를 전담하는 부서까지 만들었다. 이 회사는 지난해 20여개 협력업체에 R&D 및 사업화를 위해 30억원을 지원했으 며 올해는 100억원으로 지원 규모를 늘렸다. R&D를 위한 공동투자 규모도 올해 100억원으로 확대했다. SK는 중소협력업체들의 사업발굴 기회나 애로사항을 듣기 위한 협의회를 정기적 으로 열고 있다. SK텔레콤은 협력업체와 오프라인 미팅인 '파트너 온 캠프'를 올해 10여차례 개최하고 분야도 재무,미디어,광고 등으로 확대하고 있다. SK㈜ 울산공장은 협력사의 가족을 초청,대기업과 협력업체 간 유대감을 강화하 는 행사를 지난해부터 열고 있다. 김후진 기자 jin@hankyung.com",https://n.news.naver.com/mnews/article/015/0000802975?sid=101
<표>24일 오전 채권수익률,2005-05-24 12:18:00,<표>24일 오전 채권수익률 구분                     (%)     (%p) 국고채권(1년)           3.57  ↓ 0.01 국고채권(3년)           3.65  ↓ 0.03 국고채권(5년)           3.81  ↓ 0.03 국고채권(10년)          4.34  ↓ 0.03 국민주택1종(5년)        3.93  ↓ 0.03 통안증권(364일)         3.57  ↓ 0.01 통안증권(2년)           3.67  ↓ 0.03 한전채(3년)             3.82  ↓ 0.03 산금채(1년)             3.65  ↓ 0.01 회사채(무보증3년)AA-    4.07  ↓ 0.03 회사채(무보증3년)BBB-   8.03  ↓ 0.03 CD(91일)                3.51     0.00 CP(91일)                3.60     0.00 *증권업협회 고시금리 기준 한경닷컴,https://n.news.naver.com/mnews/article/015/0000805310?sid=101
