token,pos,count
물가,NNG,14
인상,NNG,13
금리,NNG,11
상황,NNG,10
bp,SL,7
대응,NNG,5
경기,NNG,5
여건,NNG,5
결정,NNG,5
전망,NNG,5
대해서,VV,4
금융통화위원회,NNG,4
기준금리,NNG,4
상승률,NNG,4
둔화,NNG,4
상승,NNG,4
이후,NNG,4
수준,NNG,4
향후,MAG,4
한국은행,NNG,4
판단,NNG,4
주요국,NNG,4
지원,NNG,4
인플레이션,NNG,4
대출,NNG,4
국내,NNG,4
말씀,NNG,4
경로,NNG,3
글로벌,NNG,3
오름세,NNG,3
영향,NNG,3
정도,NNG,3
임금,NNG,3
커진,VA,3
관련,NNG,3
속도,NNG,3
불확실성,NNG,3
변화,NNG,3
금융시장,NNG,3
대외,NNG,3
가계,NNG,3
강화,NNG,3
확산,NNG,3
선제,NNG,2
상당폭,NNG,2
기대,NNG,2
근접,NNG,2
드린,VV,2
모두,MAG,2
만큼,NNB,2
먼저,MAG,2
달러화,NNG,2
따른,VV,2
상호,NNG,2
성장세,NNG,2
배경,NNG,2
보다,MAG,2
드리,VV,2
노력,NNG,2
당분간,MAG,2
국제,NNG,2
약화,NNG,2
어려움,VV,2
수출,NNG,2
압력,NNG,2
오늘,MAG,2
우려,NNG,2
예상,NNG,2
우크라이나사태,NNG,2
지속,NNG,2
장기,NNG,2
이상,NNG,2
작용,NNG,2
인플레이션율,NNG,2
위험,NNG,2
이번,NNG,2
설명,NNG,2
도크,NNG,2
드립니다,VV,2
경제,NNG,2
과정,NNG,2
개선,NNG,2
흐름,NNG,2
확대,NNG,2
하락,NNG,2
현재,MAG,2
취약계층,NNG,2
해지,NNG,2
정책금리,NNG,2
주가,NNG,2
중심,NNG,2
지난,VV,2
정책,NNG,2
국내외,NNG,2
광범위,NNG,2
가속,NNG,2
금융,NNG,2
같이,MAG,2
강세,NNG,2
느끼,VV,1
대내외,NNG,1
대인,NNG,1
당초,NNG,1
대가,NNG,1
금융안정,NNG,1
금통위원,NNG,1
기대심리,NNG,1
기자간담회,NNG,1
기조,NNG,1
근원,NNG,1
금융경제,NNG,1
고물가,NNG,1
고려,NNG,1
가격변수,NNG,1
다소,MAG,1
단기,NNG,1
달리,MAG,1
내린,VV,1
국채,NNG,1
금융중개지원대출,NNG,1
고정,NNG,1
구조,NNG,1
공급,NNG,1
고착,NNG,1
계경,NNG,1
수요,NNG,1
소폭,MAG,1
소비자,NNG,1
소비,NNG,1
설비,NNG,1
성장,NNG,1
서비스,NNG,1
상회,NNG,1
비중,NNG,1
빨라,VA,1
사실,NNG,1
빨라질,VA,1
살펴보,VV,1
상되,VA,1
상반기,NNG,1
상세히,MAG,1
보합세,NNG,1
불가피,NNG,1
부채,NNG,1
부진,NNG,1
보인,VV,1
부문,NNG,1
미국,NNG,1
미치,VV,1
발언,NNG,1
반영,NNG,1
바람직,NNG,1
방안,NNG,1
변동,NNG,1
벗어나,VV,1
변동성,NNG,1
보였,VV,1
대한,VV,1
따라,VV,1
물론,MAG,1
미칠,VV,1
등락,NNG,1
무거운,VA,1
마이너스,NNG,1
결과,NNG,1
가운데,NNG,1
감소,NNG,1
가중,NNG,1
실질,NNG,1
예정,NNG,1
오늘,NNG,1
신용,NNG,1
올리,VV,1
우선,MAG,1
요인,NNG,1
외환위기,NNG,1
외환시장,NNG,1
완화,NNG,1
외국인,NNG,1
완만히,MAG,1
안정,NNG,1
앞서,MAG,1
아울러,MAG,1
악화,NNG,1
신흥국,NNG,1
실기,NNG,1
시장,NNG,1
순유출,NNG,1
시기,NNG,1
전원,NNG,1
전반,NNG,1
전개,NNG,1
자본,NNG,1
자세히,MAG,1
일부,NNG,1
일치,NNG,1
자금,NNG,1
인하,NNG,1
일례,NNG,1
일반인,NNG,1
원달러환율,NNG,1
운용,NNG,1
이미,MAG,1
유출,NNG,1
이르,VV,1
웃도,VV,1
위한,VV,1
유로지역,NNG,1
유지,NNG,1
증가세,NNG,1
증가,NNG,1
주식,NNG,1
주요,NNG,1
주택매매가격,NNG,1
주택,NNG,1
점차,MAG,1
주시,NNG,1
종료,NNG,1
제의,NNG,1
정부,NNG,1
전환,NNG,1
측면,NNG,1
취약,NNG,1
최대,NNG,1
처음,NNG,1
찾아보,VV,1
책임감,NNG,1
지금,NNG,1
증대,NNG,1
중요,NNG,1
중앙은행,NNG,1
커지,VV,1
커져,VA,1
커질,VA,1
코로나,NNG,1
통해,VV,1
커진다면,VV,1
필요성,NNG,1
필요,NNG,1
피해기업,NNG,1
피해,NNG,1
파악,NNG,1
투자자금,NNG,1
투자,NNG,1
통화정책,NNG,1
함께,MAG,1
하회,NNG,1
하방,NNG,1
현재,NNG,1
환율,NNG,1
회복세,NNG,1
회의,NNG,1
회피심리,NNG,1
