token,pos,count
물가,NNG,26
기준,NNG,22
상승률,NNG,15
전년동기비,NNG,15
전기비,NNG,13
대출,NNG,12
금리,NNG,11
미국,NNG,9
소비자,NNG,9
영향,NNG,8
완화,NNG,8
성장률,NNG,8
경제,NNG,7
제조업,NNG,7
통화정책,NNG,7
지수,NNG,6
향후,MAG,6
전기,NNG,6
기준금리,NNG,6
제외,NNG,6
생산,NNG,6
전망,NNG,6
정책,NNG,6
지표,NNG,6
수출,NNG,6
근원,NNG,6
국제,NNG,5
GDP,NNG,5
흐름,NNG,5
지속,NNG,5
상황,NNG,5
계절조정,NNG,5
분기,NNG,5
한국은행,NNG,5
확대,NNG,5
국내,NNG,5
주요국,NNG,5
소매,NNG,5
경기,NNG,5
가계,NNG,5
지난,VV,4
기간,NNG,4
상승,NNG,4
안정,NNG,4
산업,NNG,4
기업,NNG,4
금융,NNG,4
방향,NNG,4
금융안정,NNG,4
서비스,NNG,4
불확실성,NNG,4
판매,NNG,4
PMI,NNG,3
관세,NNG,3
협상,NNG,3
건설,NNG,3
관련,NNG,3
국고채,NNG,3
투자,NNG,3
하향조정,NNG,3
하락,NNG,3
수치,NNG,3
변동성,NNG,3
세계,NNG,3
비연,NNG,3
압력,NNG,3
인플레이션율,NNG,3
신흥시장국,NNG,3
조원,NNG,3
달러,NNG,3
경로,NNG,3
무역,NNG,3
둔화,NNG,3
글로벌,NNG,3
유가,NNG,3
외환시장,NNG,3
실업률,NNG,3
금년,NNG,3
장기,NNG,3
월평균,NNG,3
정부,NNG,3
석유,NNG,3
가격,NNG,3
가운데,NNG,3
or,SL,2
취업자수증감,NNG,2
취급,NNG,2
추가,NNG,2
증감,NNG,2
중국,NNG,2
수도권,NNG,2
수도,NNG,2
속도,NNG,2
실적,NNG,2
여건,NNG,2
서울,NNP,2
부진,NNG,2
변화,NNG,2
예상,NNG,2
대외,NNG,2
붙임,NNG,2
소폭,MAG,2
kr,SL,2
bok,SL,2
식료품,NNG,2
성장세,NNG,2
보인다,VV,2
수준,NNG,2
심리,NNG,2
갈등,NNG,2
가스,NNG,2
지역,NNG,2
Tel,SL,2
안정세,NNG,2
국채,NNG,2
증가세,NNG,2
한국,NNG,2
계열,NNG,2
하방,NNG,2
포함,NNG,2
전개,NNG,2
결정,NNG,2
환율,NNG,2
공공,NNG,2
거래,NNG,2
우려,NNG,2
운용,NNG,2
리스크,NNG,2
금융통화위원회,NNG,2
금융시장,NNG,2
담보대출,NNG,2
목표,NNG,2
민간,NNG,2
주택,NNG,2
인하,NNG,2
유의,NNG,2
배경,NNG,2
반등,NNG,2
실물,NNG,2
자료,NNG,2
은행,NNG,2
기말,NNG,2
원달러환율,NNG,2
주요,NNG,2
점검,NNG,2
주택가격,NNG,2
전망치,NNG,2
주가,NNG,2
기조,NNG,2
소비,NNG,2
수요,NNG,2
성장,NNG,2
따른,VV,2
따라,VV,2
기대,NNG,2
내수,NNG,2
기타,NNG,2
증가율,NNG,1
구성,NNG,1
국내외,NNG,1
규모,NNG,1
그간,NNG,1
공보관,NNG,1
공업,NNG,1
과정,NNG,1
관리,NNG,1
관세율,NNG,1
교역량,NNG,1
계속,MAG,1
고용,NNG,1
고용률,NNG,1
공급,NNG,1
공보,NNG,1
결정시,NNG,1
현물,NNG,1
회복,NNG,1
회사채,NNG,1
회피심리,NNG,1
CDS,NNG,1
하회,NNG,1
한국주택금융공사,NNP,1
한편,NNG,1
평가,NNG,1
평균,NNG,1
포시,NNG,1
프리미엄,NNG,1
필요,NNG,1
하락세,NNG,1
통화정책국,NNP,1
AA,SL,1
BBB,SL,1
Brent,SL,1
CBSI,SL,1
취업자수,NNG,1
측면,NNG,1
통계청,NNP,1
통관,NNG,1
통안증권,NNG,1
통화,NNG,1
직간접적,NNG,1
차장,NNP,1
참고,NNG,1
참조,NNG,1
총괄팀,NNP,1
최종호가,NNG,1
추이,NNG,1
지연,NNG,1
지정학,NNG,1
주택매매가격,NNG,1
중기,NNG,1
중도금,NNG,1
판단,NNG,1
판매액,NNG,1
펀드,NNG,1
가능성,NNG,1
각각,MAG,1
감소세,NNG,1
강세,NNG,1
개인서비스,NNP,1
mail,SL,1
mpdept,SL,1
www,SL,1
가격변수,NNG,1
가공식품,NNG,1
VIX,SL,1
WTI,SL,1
bp,SL,1
http,SL,1
CP,NNG,1
Dubai,SL,1
Fax,SL,1
보이,VV,1
보인,VV,1
부과,NNG,1
승하,NNG,1
시계,NNG,1
시장,NNG,1
식순,NNG,1
수록,NNG,1
수익률,NNG,1
수입량,NNG,1
설비투자지수,NNG,1
생산자,NNG,1
서비스업,NNG,1
대책,NNG,1
대한,VV,1
상방,NNG,1
상쇄,NNG,1
상업,NNG,1
상품,NNG,1
상회,NNG,1
비농가,NNG,1
비해서,VV,1
산업활동,NNG,1
산원,NNG,1
상가,NNG,1
부동,NNG,1
부동산,NNG,1
부양책,NNG,1
부채,NNG,1
부합,NNG,1
배럴,NNG,1
보도자료,NNG,1
선진국,NNG,1
설비,NNG,1
연교,NNG,1
영국,NNG,1
오름세,NNG,1
오피스텔,NNG,1
외국인,NNG,1
에너지제외지수,NNG,1
엔달러,NNG,1
엔환율,NNG,1
여전,NNG,1
여타,NNG,1
역내,NNG,1
역성장,NNG,1
아시아,NNG,1
업종,NNG,1
에너지,NNG,1
신용,NNG,1
신용평가기관,NNG,1
신용한,NNP,1
신흥국,NNG,1
바랍니다,VV,1
반락,NNG,1
마이너스통장대출,NNG,1
만큼,NNB,1
매수,NNG,1
매우,MAG,1
면밀히,MAG,1
모기지론,NNG,1
더딜,VA,1
독일,NNG,1
동향,NNG,1
등락,NNG,1
대기업,NNG,1
대내외,NNG,1
대비,NNG,1
신흥국지수,NNG,1
일본,NNG,1
일부,NNG,1
일평균,NNG,1
자금,NNG,1
장경로,NNP,1
재의,NNG,1
인상,NNG,1
인천,NNP,1
인터넷,NNG,1
인하,VV,1
일반,NNG,1
일반인,NNG,1
위한,VV,1
위험,NNG,1
유로,NNG,1
유입,NNG,1
이어지,VV,1
요인,NNG,1
경계감,NNG,1
늘어나,VV,1
늘어난,VV,1
다음,NNG,1
단기,NNG,1
달러인덱스,NNG,1
달러화지수,NNG,1
담배,NNG,1
김병국,NNP,1
나타내,VV,1
내외,NNG,1
농산물,NNG,1
농축수산물,NNG,1
급식,NNG,1
기성액,NNG,1
움직임,NNG,1
위안,NNG,1
주비,NNG,1
주식담보대출,NNG,1
주택담보,NNG,1
주택담보대출,NNG,1
제품,NNG,1
주로,MAG,1
전세계,NNG,1
전세자금,NNG,1
