token,pos,count
물가,NNG,13
여건,NNG,13
예상,NNG,10
불확실성,NNG,10
경기,NNG,9
영향,NNG,8
둔화,NNG,8
미국,NNG,8
전망,NNG,7
흐름,NNG,7
금리,NNG,7
성장,NNG,7
확대,NNG,7
대해,VV,6
경제,NNG,6
기준금리,NNG,6
환율,NNG,5
관세정책,NNG,5
향후,MAG,5
하락,NNG,5
관세,NNG,5
부진,NNG,5
요인,NNG,5
압력,NNG,5
안정,NNG,5
위험,NNG,5
변동성,NNG,5
대내외,NNG,4
통상,NNG,4
무역,NNG,4
인하,NNG,4
글로벌,NNG,4
일부,NNG,4
국내,NNG,4
전개,NNG,4
상승률,NNG,4
성장률,NNG,4
드리,VV,4
관련,NNG,4
변화,NNG,4
가계,NNG,4
판단,NNG,4
작용,NNG,4
수요,NNG,4
하방,NNG,4
상당폭,NNG,4
상황,NNG,4
금융통화위원회,NNG,3
금융,NNG,3
정책,NNG,3
장기,NNG,3
악화,NNG,3
수출,NNG,3
수준,NNG,3
심리,NNG,3
완화,NNG,3
살펴보,VV,3
상승,NNG,3
분기,NNG,3
필요,NNG,3
지난,VV,3
유의,NNG,3
주요국,NNG,3
유지,NNG,3
우려,NNG,3
경로,NNG,3
현재,NNG,3
협상,NNG,3
나타내,VV,3
모두,MAG,3
말씀,NNG,3
보입니다,VV,3
상방,NNG,3
따라,VV,3
만큼,NNB,3
결정,NNG,3
유가,NNG,3
국채,NNG,2
갈등,NNG,2
거래,NNG,2
국제,NNG,2
점검,NNG,2
커졌,VV,2
유로지역,NNG,2
인플레이션,NNG,2
당초,NNG,2
내외,NNG,2
내수,NNG,2
단기간,NNG,2
대출,NNG,2
경우,NNG,2
연간,NNG,2
가격,NNG,2
가능성,NNG,2
투자,NNG,2
특히,MAG,2
증대,NNG,2
가운데,NNG,2
유예,NNG,2
오름세,NNG,2
기업,NNG,2
기조,NNG,2
외환시장,NNG,2
미치,VV,2
국가,NNG,2
대응,NNG,2
결정배경,NNG,2
보이,VV,2
소비자,NNG,2
국내외,NNG,2
전망치,NNG,2
적절,NNG,2
발언,NNG,2
반등,NNG,2
따른,VV,2
정치,NNG,2
시장,NNG,2
어떻게,MAG,2
부양책,NNG,2
상호,NNG,2
약화,NNG,2
속도,NNG,2
심화,NNG,2
기대,NNG,2
급격,NNG,2
정도,NNG,2
주가,NNG,2
근원,NNG,2
정부,NNG,2
설명,NNG,2
회복,NNG,2
전월,NNG,1
점차,MAG,1
일시,MAG,1
입장,NNG,1
자세히,MAG,1
재정,NNG,1
이어지,VV,1
이어질,VV,1
국고채,NNG,1
국방비,NNG,1
경청,NNG,1
공사,NNG,1
과정,NNG,1
대외,NNG,1
대책,NNG,1
대체,NNG,1
대체로,MAG,1
대한,VV,1
단기,NNG,1
달러화,NNG,1
달리,MAG,1
당시,NNG,1
대내,NNG,1
이외,NNG,1
이후,NNG,1
인수,NNG,1
인플레이션율,NNG,1
유출입,NNG,1
육성,NNG,1
이러,NNG,1
이상,NNG,1
지정,NNG,1
감사,NNG,1
감소,NNG,1
감안,NNG,1
강도,NNG,1
강화,NNG,1
거래량,NNG,1
거주자,NNG,1
건설,NNG,1
건설현장,NNG,1
건하,NNG,1
검토,NNG,1
견지,NNG,1
금융시장,NNG,1
금융안정,NNG,1
급격히,MAG,1
급등,NNG,1
기대감,NNG,1
규모,NNG,1
금년,NNG,1
금번,NNG,1
주택,NNG,1
주택시장,NNG,1
중국,NNG,1
중단,NNG,1
중심,NNG,1
증가,NNG,1
조정,NNG,1
종합,NNG,1
주식,NNG,1
현재,MAG,1
확산,NNG,1
경계감,NNG,1
하락세,NNG,1
하회,NNG,1
한국은행,NNG,1
한편,NNG,1
함께,MAG,1
해제,NNG,1
통화정책운용방향,NNG,1
각별히,MAG,1
마지막,NNG,1
마치,VV,1
매우,MAG,1
먼저,MAG,1
대형,NNG,1
더해,VV,1
동결,NNG,1
드린,VV,1
드립니다,VV,1
상쇄,NNG,1
서울,NNP,1
빨리,MAG,1
사실,NNG,1
사이,NNG,1
산불,NNG,1
살펴볼,VV,1
상당히,MAG,1
부담,NNG,1
부채,NNG,1
부합,NNG,1
불확실,NNG,1
벗어나,VV,1
변하,VV,1
보여,VV,1
부과,NNG,1
아직,MAG,1
약세,NNG,1
약한,VA,1
시나리오,NNG,1
시차,NNG,1
신성환,NNP,1
신중,NNG,1
실적,NNG,1
수급,NNG,1
수도권,NNG,1
수입관세,NNG,1
